DATE,MRTSSM44000USN
1992-01-01,134805.000000000000
1992-04-01,150481.333333333333
1992-07-01,151073.333333333333
1992-10-01,167386.000000000000
1993-01-01,141502.333333333333
1993-04-01,161699.333333333333
1993-07-01,162625.666666666667
1993-10-01,180048.666666666667
1994-01-01,155056.666666666667
1994-04-01,174943.666666666667
1994-07-01,176923.666666666667
1994-10-01,194821.000000000000
1995-01-01,165023.333333333333
1995-04-01,186171.000000000000
1995-07-01,186266.666666666667
1995-10-01,201744.333333333333
1996-01-01,177721.333333333333
1996-04-01,198175.000000000000
1996-07-01,196944.666666666667
1996-10-01,214342.000000000000
1997-01-01,187750.333333333333
1997-04-01,205408.666666666667
1997-07-01,207407.666666666667
1997-10-01,222355.666666666667
1998-01-01,193061.666666666667
1998-04-01,218094.666666666667
1998-07-01,214402.333333333333
1998-10-01,235028.666666666667
1999-01-01,208830.333333333333
1999-04-01,233800.333333333333
1999-07-01,236045.000000000000
1999-10-01,255687.666666666667
2000-01-01,231504.333333333333
2000-04-01,250566.000000000000
2000-07-01,248518.666666666667
2000-10-01,263836.333333333333
2001-01-01,234733.666666666667
2001-04-01,259345.000000000000
2001-07-01,251391.333333333333
2001-10-01,275286.000000000000
2002-01-01,238587.666666666667
2002-04-01,263141.333333333333
2002-07-01,263620.333333333333
2002-10-01,277501.333333333333
2003-01-01,246760.333333333333
2003-04-01,272904.666666666667
2003-07-01,276622.000000000000
2003-10-01,291290.000000000000
2004-01-01,264817.000000000000
2004-04-01,290080.666666666667
2004-07-01,290660.666666666667
2004-10-01,312124.333333333333
2005-01-01,278391.000000000000
2005-04-01,310240.333333333333
2005-07-01,312911.666666666667
2005-10-01,328218.000000000000
2006-01-01,298240.666666666667
2006-04-01,328254.333333333333
2006-07-01,325278.333333333333
2006-10-01,338751.000000000000
2007-01-01,307088.666666666667
2007-04-01,337790.333333333333
2007-07-01,333383.666666666667
2007-10-01,353464.666666666667
2008-01-01,316721.000000000000
2008-04-01,342690.000000000000
2008-07-01,333303.000000000000
2008-10-01,319057.666666666667
2009-01-01,276177.000000000000
2009-04-01,301857.333333333333
2009-07-01,303807.666666666667
2009-10-01,322315.000000000000
2010-01-01,291971.666666666667
2010-04-01,320314.333333333333
2010-07-01,316957.333333333333
2010-10-01,343439.333333333333
2011-01-01,314532.666666666667
2011-04-01,344871.000000000000
2011-07-01,342415.666666666667
2011-10-01,365831.333333333333
2012-01-01,338504.000000000000
2012-04-01,359468.666666666667
2012-07-01,355696.000000000000
2012-10-01,380407.666666666667
2013-01-01,346778.000000000000
2013-04-01,373985.000000000000
2013-07-01,372621.333333333333
2013-10-01,393010.000000000000
2014-01-01,353837.333333333333
2014-04-01,392525.000000000000
2014-07-01,390176.000000000000
2014-10-01,410315.333333333333
2015-01-01,361737.666666666667
2015-04-01,398206.666666666667
2015-07-01,397823.000000000000
2015-10-01,417561.000000000000
2016-01-01,373447.333333333333
2016-04-01,405974.333333333333
2016-07-01,405596.000000000000
2016-10-01,431123.000000000000
2017-01-01,385909.333333333333
2017-04-01,421612.666666666667
2017-07-01,420409.000000000000
2017-10-01,452140.333333333333
2018-01-01,405046.000000000000
2018-04-01,442601.000000000000
2018-07-01,438207.333333333333
2018-10-01,464695.000000000000
2019-01-01,409766.000000000000
2019-04-01,454806.333333333333
2019-07-01,453922.666666666667
2019-10-01,480369.666666666667
2020-01-01,419101.333333333333
2020-04-01,439478.666666666667
2020-07-01,484684.000000000000
2020-10-01,514079.333333333333
2021-01-01,486185.666666666667
2021-04-01,558964.000000000000
2021-07-01,543827.000000000000
2021-10-01,585226.333333333333
2022-01-01,541121.666666666667
2022-04-01,607686.333333333333
2022-07-01,597134.333333333333
2022-10-01,619066.666666666667
2023-01-01,560204.666666666667
2023-04-01,610653.000000000000
2023-07-01,609096.666666666667
2023-10-01,.
