DATE,LES1252881500Q
1979-01-01,232
1979-04-01,239
1979-07-01,243
1979-10-01,248
1980-01-01,254
1980-04-01,257
1980-07-01,266
1980-10-01,269
1981-01-01,276
1981-04-01,279
1981-07-01,285
1981-10-01,292
1982-01-01,295
1982-04-01,301
1982-07-01,303
1982-10-01,306
1983-01-01,309
1983-04-01,311
1983-07-01,316
1983-10-01,316
1984-01-01,321
1984-04-01,323
1984-07-01,327
1984-10-01,333
1985-01-01,334
1985-04-01,347
1985-07-01,345
1985-10-01,348
1986-01-01,352
1986-04-01,358
1986-07-01,359
1986-10-01,365
1987-01-01,366
1987-04-01,371
1987-07-01,377
1987-10-01,378
1988-01-01,382
1988-04-01,382
1988-07-01,387
1988-10-01,390
1989-01-01,393
1989-04-01,398
1989-07-01,401
1989-10-01,406
1990-01-01,408
1990-04-01,412
1990-07-01,412
1990-10-01,417
1991-01-01,426
1991-04-01,423
1991-07-01,427
1991-10-01,430
1992-01-01,437
1992-04-01,438
1992-07-01,443
1992-10-01,443
1993-01-01,450
1993-04-01,457
1993-07-01,461
1993-10-01,465
1994-01-01,463
1994-04-01,467
1994-07-01,467
1994-10-01,470
1995-01-01,473
1995-04-01,477
1995-07-01,484
1995-10-01,482
1996-01-01,484
1996-04-01,488
1996-07-01,493
1996-10-01,496
1997-01-01,499
1997-04-01,502
1997-07-01,504
1997-10-01,508
1998-01-01,516
1998-04-01,518
1998-07-01,525
1998-10-01,538
1999-01-01,533
1999-04-01,546
1999-07-01,551
1999-10-01,564
2000-01-01,568
2000-04-01,572
2000-07-01,579
2000-10-01,581
2001-01-01,585
2001-04-01,594
2001-07-01,601
2001-10-01,603
2002-01-01,607
2002-04-01,608
2002-07-01,608
2002-10-01,610
2003-01-01,615
2003-04-01,619
2003-07-01,621
2003-10-01,623
2004-01-01,629
2004-04-01,642
2004-07-01,635
2004-10-01,646
2005-01-01,647
2005-04-01,647
2005-07-01,651
2005-10-01,658
2006-01-01,662
2006-04-01,663
2006-07-01,678
2006-10-01,681
2007-01-01,687
2007-04-01,693
2007-07-01,698
2007-10-01,700
2008-01-01,713
2008-04-01,722
2008-07-01,724
2008-10-01,727
2009-01-01,732
2009-04-01,737
2009-07-01,742
2009-10-01,747
2010-01-01,748
2010-04-01,742
2010-07-01,746
2010-10-01,750
2011-01-01,750
2011-04-01,754
2011-07-01,760
2011-10-01,760
2012-01-01,764
2012-04-01,772
2012-07-01,766
2012-10-01,771
2013-01-01,768
2013-04-01,777
2013-07-01,779
2013-10-01,782
2014-01-01,790
2014-04-01,781
2014-07-01,798
2014-10-01,795
2015-01-01,802
2015-04-01,803
2015-07-01,809
2015-10-01,821
2016-01-01,823
2016-04-01,828
2016-07-01,834
2016-10-01,845
2017-01-01,858
2017-04-01,863
2017-07-01,864
2017-10-01,854
2018-01-01,875
2018-04-01,881
2018-07-01,891
2018-10-01,897
2019-01-01,899
2019-04-01,914
2019-07-01,921
2019-10-01,934
2020-01-01,951
2020-04-01,1008
2020-07-01,995
2020-10-01,983
2021-01-01,983
2021-04-01,996
2021-07-01,1002
2021-10-01,1009
2022-01-01,1032
2022-04-01,1048
2022-07-01,1071
2022-10-01,1083
2023-01-01,1095
2023-04-01,1107
2023-07-01,1119
2023-10-01,1142
