DATE,JTUJOL
2000-12-01,4335
2001-01-01,5592
2001-02-01,4844
2001-03-01,4514
2001-04-01,5095
2001-05-01,4544
2001-06-01,4319
2001-07-01,4896
2001-08-01,4105
2001-09-01,3941
2001-10-01,4002
2001-11-01,3372
2001-12-01,3020
2002-01-01,3983
2002-02-01,3222
2002-03-01,3403
2002-04-01,3935
2002-05-01,3544
2002-06-01,3355
2002-07-01,3770
2002-08-01,3593
2002-09-01,3215
2002-10-01,3767
2002-11-01,3126
2002-12-01,2584
2003-01-01,3661
2003-02-01,3026
2003-03-01,2913
2003-04-01,3570
2003-05-01,3355
2003-06-01,3328
2003-07-01,3366
2003-08-01,3264
2003-09-01,3030
2003-10-01,3568
2003-11-01,2970
2003-12-01,2840
2004-01-01,3598
2004-02-01,3330
2004-03-01,3353
2004-04-01,3992
2004-05-01,3766
2004-06-01,3268
2004-07-01,4191
2004-08-01,3630
2004-09-01,3784
2004-10-01,4171
2004-11-01,3119
2004-12-01,3485
2005-01-01,3929
2005-02-01,3749
2005-03-01,3902
2005-04-01,4695
2005-05-01,3844
2005-06-01,3974
2005-07-01,4630
2005-08-01,4245
2005-09-01,4339
2005-10-01,4392
2005-11-01,3889
2005-12-01,3737
2006-01-01,4488
2006-02-01,4103
2006-03-01,4606
2006-04-01,5324
2006-05-01,4504
2006-06-01,4536
2006-07-01,4735
2006-08-01,4840
2006-09-01,4749
2006-10-01,4795
2006-11-01,4298
2006-12-01,4058
2007-01-01,4827
2007-02-01,4455
2007-03-01,4843
2007-04-01,5205
2007-05-01,4701
2007-06-01,4773
2007-07-01,4907
2007-08-01,4688
2007-09-01,4666
2007-10-01,4830
2007-11-01,4317
2007-12-01,4033
2008-01-01,4682
2008-02-01,4074
2008-03-01,4137
2008-04-01,4457
2008-05-01,4253
2008-06-01,3757
2008-07-01,4013
2008-08-01,3808
2008-09-01,3242
2008-10-01,3578
2008-11-01,2959
2008-12-01,2700
2009-01-01,2792
2009-02-01,2688
2009-03-01,2482
2009-04-01,2592
2009-05-01,2586
2009-06-01,2435
2009-07-01,2412
2009-08-01,2453
2009-09-01,2494
2009-10-01,2643
2009-11-01,2258
2009-12-01,2157
2010-01-01,2877
2010-02-01,2518
2010-03-01,2653
2010-04-01,3460
2010-05-01,3043
2010-06-01,2727
2010-07-01,3264
2010-08-01,3110
2010-09-01,2937
2010-10-01,3515
2010-11-01,2956
2010-12-01,2616
2011-01-01,3098
2011-02-01,3086
2011-03-01,3236
2011-04-01,3580
2011-05-01,3226
2011-06-01,3374
2011-07-01,3807
2011-08-01,3445
2011-09-01,3794
2011-10-01,3945
2011-11-01,3291
2011-12-01,3274
2012-01-01,3864
2012-02-01,3476
2012-03-01,3953
2012-04-01,4196
2012-05-01,3890
2012-06-01,3804
2012-07-01,3932
2012-08-01,3937
2012-09-01,3912
2012-10-01,4128
2012-11-01,3575
2012-12-01,3404
2013-01-01,3839
2013-02-01,3843
2013-03-01,4051
2013-04-01,4421
2013-05-01,4197
2013-06-01,4055
2013-07-01,4097
2013-08-01,4214
2013-09-01,4175
2013-10-01,4606
2013-11-01,3768
2013-12-01,3520
2014-01-01,4026
2014-02-01,4216
2014-03-01,4329
2014-04-01,5070
2014-05-01,4805
2014-06-01,4882
2014-07-01,5117
2014-08-01,5484
2014-09-01,4976
2014-10-01,5412
2014-11-01,4463
2014-12-01,4467
2015-01-01,5244
2015-02-01,5268
2015-03-01,5159
2015-04-01,6172
2015-05-01,5612
2015-06-01,5142
2015-07-01,6391
2015-08-01,5623
2015-09-01,5577
2015-10-01,6206
2015-11-01,5272
2015-12-01,5134
2016-01-01,5894
2016-02-01,5549
2016-03-01,6058
2016-04-01,6362
2016-05-01,5773
2016-06-01,5624
2016-07-01,6407
2016-08-01,5854
2016-09-01,5962
2016-10-01,5972
2016-11-01,5536
2016-12-01,5287
2017-01-01,5529
2017-02-01,5670
2017-03-01,5742
2017-04-01,6647
2017-05-01,5839
2017-06-01,6219
2017-07-01,6658
2017-08-01,6467
2017-09-01,6439
2017-10-01,6683
2017-11-01,5832
2017-12-01,5683
2018-01-01,6568
2018-02-01,6269
2018-03-01,6744
2018-04-01,7410
2018-05-01,7015
2018-06-01,7195
2018-07-01,7609
2018-08-01,7436
2018-09-01,7504
2018-10-01,7665
2018-11-01,7086
2018-12-01,6744
2019-01-01,7480
2019-02-01,6757
2019-03-01,7280
2019-04-01,7735
2019-05-01,7324
2019-06-01,7131
2019-07-01,7463
2019-08-01,7421
2019-09-01,7241
2019-10-01,7670
2019-11-01,6436
2019-12-01,5996
2020-01-01,7150
2020-02-01,6662
2020-03-01,5731
2020-04-01,5166
2020-05-01,5403
2020-06-01,5991
2020-07-01,7229
2020-08-01,6589
2020-09-01,6630
2020-10-01,7346
2020-11-01,6327
2020-12-01,6143
2021-01-01,7179
2021-02-01,7443
2021-03-01,8316
2021-04-01,9826
2021-05-01,9689
2021-06-01,9980
2021-07-01,11812
2021-08-01,11209
2021-09-01,10990
2021-10-01,11918
2021-11-01,10518
2021-12-01,10722
2022-01-01,11432
2022-02-01,11202
2022-03-01,11979
2022-04-01,12435
2022-05-01,11297
2022-06-01,10812
2022-07-01,12392
2022-08-01,10370
2022-09-01,10901
2022-10-01,11004
2022-11-01,10031
2022-12-01,10164
2023-01-01,10586
2023-02-01,9617
2023-03-01,9592
2023-04-01,10856
2023-05-01,9352
2023-06-01,8885
2023-07-01,9660
2023-08-01,9523
2023-09-01,9392
2023-10-01,9315
2023-11-01,8262
2023-12-01,8363
