DATE,CPIAUCSL_PC1
1948-01-01,8.83257
1948-04-01,9.01106
1948-07-01,8.47784
1948-10-01,4.52580
1949-01-01,1.38320
1949-04-01,-0.31953
1949-07-01,-2.78727
1949-10-01,-2.12355
1950-01-01,-1.48963
1950-04-01,-0.62718
1950-07-01,2.05200
1950-10-01,4.36743
1951-01-01,8.94573
1951-04-01,9.17251
1951-07-01,7.14778
1951-10-01,6.57397
1952-01-01,2.80192
1952-04-01,2.08119
1952-07-01,2.82776
1952-10-01,1.44395
1953-01-01,0.76972
1953-04-01,0.88095
1953-07-01,0.66250
1953-10-01,0.72419
1954-01-01,1.25219
1954-04-01,0.71108
1954-07-01,-0.01242
1954-10-01,-0.49585
1955-01-01,-0.59362
1955-04-01,-0.56980
1955-07-01,-0.23597
1955-10-01,0.37374
1956-01-01,0.24882
1956-04-01,1.04647
1956-07-01,2.01668
1956-10-01,2.58161
1957-01-01,3.41276
1957-04-01,3.61238
1957-07-01,3.46553
1957-10-01,3.08530
1958-01-01,3.45614
1958-04-01,3.27225
1958-07-01,2.29980
1958-10-01,1.91315
1959-01-01,0.89317
1959-04-01,0.39175
1959-07-01,0.96841
1959-10-01,1.47414
1960-01-01,1.39112
1960-04-01,1.82486
1960-07-01,1.35876
1960-10-01,1.39598
1961-01-01,1.50811
1961-04-01,0.86790
1961-07-01,1.20536
1961-10-01,0.70517
1962-01-01,0.89366
1962-04-01,1.30741
1962-07-01,1.20214
1962-10-01,1.30043
1963-01-01,1.22896
1963-04-01,1.03684
1963-07-01,1.36384
1963-10-01,1.39346
1964-01-01,1.48748
1964-04-01,1.46288
1964-07-01,1.07422
1964-10-01,1.26610
1965-01-01,1.16392
1965-04-01,1.64622
1965-07-01,1.71766
1965-10-01,1.78457
1966-01-01,2.41824
1966-04-01,2.68868
1966-07-01,3.27177
1966-10-01,3.56955
1967-01-01,2.87081
1967-04-01,2.56675
1967-07-01,2.70823
1967-10-01,2.99037
1968-01-01,3.74115
1968-04-01,4.12060
1968-07-01,4.47761
1968-10-01,4.62598
1969-01-01,4.87329
1969-04-01,5.50193
1969-07-01,5.52381
