DATE,A067RP1Q027SBEA,PCEC_PCH
1947-04-01,-0.7,2.47821
1947-07-01,19.6,2.19457
1947-10-01,4.3,2.52472
1948-01-01,12.5,1.61029
1948-04-01,17.8,2.21280
1948-07-01,13.4,1.68253
1948-10-01,1,0.48342
1949-01-01,-10.5,-0.61654
1949-04-01,-0.5,0.91330
1949-07-01,0.2,-0.35865
1949-10-01,1.9,1.37397
1950-01-01,33.6,1.48184
1950-04-01,0.7,2.12443
1950-07-01,14.2,7.33328
1950-10-01,10,-1.27628
1951-01-01,13.9,5.68893
1951-04-01,12.8,-2.03865
1951-07-01,5.2,1.30476
1951-10-01,4.7,1.91411
1952-01-01,1.5,0.65173
1952-04-01,5.1,1.93408
1952-07-01,11.2,1.13548
1952-10-01,9.6,3.69706
1953-01-01,6.4,1.55927
1953-04-01,6,0.75253
1953-07-01,0.2,0.30306
1953-10-01,0.4,-0.23709
1954-01-01,4.1,0.87597
1954-04-01,-0.2,1.16137
1954-07-01,2.9,1.01646
1954-10-01,7.5,1.99332
1955-01-01,8.0,2.57249
1955-04-01,9.6,2.01593
1955-07-01,9.3,1.63180
1955-10-01,5.9,1.53002
1956-01-01,5.8,0.57323
1956-04-01,6.7,1.00618
1956-07-01,6.1,1.20558
1956-10-01,8.9,1.97372
1957-01-01,5.0,1.60176
1957-04-01,5.5,0.81131
1957-07-01,5.4,1.60957
1957-10-01,-0.6,0.56035
1958-01-01,1.4,-0.16531
1958-04-01,3.6,1.01108
1958-07-01,9.4,1.73281
1958-10-01,6.1,1.31927
1959-01-01,5.2,2.52665
1959-04-01,8.4,1.95703
1959-07-01,1.9,1.65449
1959-10-01,5.1,0.66007
1960-01-01,5.3,1.09094
1960-04-01,4.8,1.79064
1960-07-01,2.3,-0.02468
1960-10-01,1.6,0.57147
1961-01-01,4.6,0.14849
1961-04-01,6.2,1.47525
1961-07-01,7,0.84754
1961-10-01,8.5,2.12104
1962-01-01,5.8,1.49574
1962-04-01,5.9,1.58840
1962-07-01,3.3,1.07502
1962-10-01,4.9,1.72507
1963-01-01,4.7,0.98889
1963-04-01,4.4,1.10344
1963-07-01,6.5,1.84481
